,name
14327,Amisam 100mg Tablet
14328,Alviroz 40mg Tablet
14329,Accpar P 100mg/325mg Tablet
14330,Alarrest 120mg Tablet
14331,Ariflox 200mg Tablet
14332,Anzy 100mg Dry Syrup
14333,Abeclo SP 100mg/325mg/15mg Tablet
14334,Abeclo-P Tablet
14335,Aclofen T 100mg/4mg Tablet
14336,Aptflam-MR Tablet
14337,Altrib 90mg/48mg/100mg Tablet
14338,Aester-P Oral Suspension
14339,Anpilox 250mg/250mg Capsule
14340,Anphexin 500mg Capsule
14341,Azilife 500mg Tablet
14342,Aeroace-P Tablet
14343,Axol-Xl Expectorant
14344,Azotox 500mg Tablet
14345,Alviroz 40mg Tablet
14346,Amisam 100mg Tablet
14347,Aller-LM Tablet
14348,Alenmox 250mg Capsule
14349,Amoxydial 125mg Tablet
14350,Artize 500mg Tablet
14351,Ace-TM Injection
14352,Aventair-M Kid Tablet
14353,Abumol 400mg/300mg Tablet
14354,Aconreb 20mg Tablet
14355,Ansac-SP Tablet
14356,Anigest 200mg Tablet
14357,Agroser 50mg/10mg Tablet
14358,Aroflox OZ 200mg/500mg Tablet
14359,Atelol 100mg Tablet
14360,Acewell P Oral Suspension
14361,Ambtus L Syrup
14362,Aoxy-CV Oral Drops
14363,Azivid 500mg Tablet
14364,Arkpine-D Tablet
14365,Antizide 500mg Tablet
14366,Anxigon 0.25mg Tablet
14367,Acin 50mg Injection
14368,Amzer-AT 5mg/50mg Tablet
14369,Astepan 40mg Injection
14370,Aanid Ointment
14371,Asriz SP 100mg/325mg/15mg Tablet
14372,Alwa 400mg Tablet
14373,Allergix Cold Care Tablet
14374,Aim 250mg Tablet
14375,Acefem Fort 80mg/100mg Tablet
14376,Azianza 500 Tablet
14377,Anzimox CV 250mg/125mg Tablet
14378,Anupan D 10mg/40mg Tablet
14379,Anxigon 0.25mg Tablet
14380,Arkpine-D Tablet
14381,Antizide 500mg Tablet
14382,Astepan 40mg Injection
14383,Allmero Injection
14384,Azesin 250 Tablet
14385,Azcad 500 Tablet
14386,Ascapar 200mg Tablet SR
14387,Atovib 20 Tablet
14388,Arbez D 10mg/20mg Tablet
14389,Aquaxime 50mg Syrup
14390,Amxime O 200mg/200mg Tablet
14391,Antof LZ Oral Suspension
14392,Abivog GM 2mg/500mg/0.2mg Tablet SR
14393,Agripod 100 Dry Syrup
14394,ACEFEX P 100MG/500MG TABLET
14395,Abicip 500mg Tablet
14396,AB Fax 100mg Tablet
14397,Acvin Syrup
14398,Acejet 150mg Injection
14399,Adi-Penem Injection
14400,Aztre 250mg Injection
14401,Ambrospas 20mg/500mg Tablet
14402,Arivel 500mg Injection
14403,Azar 100mg/5ml Suspension
14404,Aden-Rex Syrup
14405,Alphamox Syrup
14406,Acetel P 100mg/325mg Tablet
14407,Amxime O 200mg/200mg Tablet
14408,Amurol NX 250mg Capsule
14409,AB Fax 100mg Tablet
14410,Avibru P 100mg/125mg Capsule
14411,Agripod 100 Dry Syrup
14412,Antof LZ Oral Suspension
14413,Autkast 5mg/10mg Tablet
14414,Abivog GM 2mg/500mg/0.2mg Tablet SR
14415,ACEFEX P 100MG/500MG TABLET
14416,Aclopic P 100mg/500mg Tablet
14417,Alworm Suspension
14418,Actimox 125mg Syrup
14419,Ancofex 180mg Tablet
14420,Artimed Injection
14421,Auxiclav 500mg/125mg Tablet
14422,Actibull 100mg/325mg Tablet
14423,Azlo 500mg Tablet
14424,Avpred 1000mg Injection
14425,Acekyor-D 80mg/100mg Tablet
14426,Aelonac-MR Tablet
14427,Aspan IT 40mg/150mg Tablet
14428,Azinit 250mg Tablet
14429,Armet G 300mg/500mcg Tablet
14430,Aclopic P 100mg/500mg Tablet
14431,Alworm Suspension
14432,Alphamox Syrup
14433,Acetel P 100mg/325mg Tablet
14434,Adipride M 1mg/500mg Tablet SR
14435,Antiflox 250mg Tablet
14436,Atherotwo DS 10 mg/10 mg Tablet
14437,Aller-CZ Tablet
14438,Amnol 5 mg/50 mg Tablet
14439,Anglopar 125mg/5ml Syrup
14440,Acenet P Oral Suspension
14441,Azlo 500mg Tablet
14442,Artimed Injection
14443,Ancofex 180mg Tablet
14444,Azylin 100mg Tablet DT
14445,Ampicon 300 Tablet
14446,Anslide P 100mg/325mg Tablet
14447,Amimind 400 Tablet
14448,Acloris SP 100mg/325mg/15mg Tablet
14449,ACEROC 100 MG TABLET
14450,Azilix 500mg Tablet
14451,Aspan IT 40mg/150mg Tablet
14452,Azopip 4.5gm Injection
14453,Acekyor-D 80mg/100mg Tablet
14454,Ampant-D SR 30mg/40mg Capsule
14455,Apomatine Syrup
14456,Amlovel AT 5mg/50mg Tablet
14457,Amoxinga 125mg Tablet
14458,Angip Plus Tablet
14459,Amipred 500mg Injection
14460,Amnol 5 mg/50 mg Tablet
14461,Actimox 125mg Syrup
14462,Abitol 2mg/5ml Syrup
14463,Aglopar 650mg Tablet
14464,Ampicon 300 Tablet
14465,Arocoxia MR 90mg/4mg Tablet
14466,Avinor TZ 400mg/600mg Tablet
14467,Aclirene Plus Tablet
14468,Avomits 4mg Tablet
14469,Antozole D 10mg/40mg Tablet
14470,Aziwin 100mg Oral Suspension
14471,Acent 200mg Tablet SR
14472,Allstate 125mg Injection
14473,Acezol 200mg Tablet SR
14474,Arzola 20mg Tablet
14475,Atenolix 25mg Tablet
14476,Azone 250mg Tablet
14477,Azam 200mg XL Oral Suspension
14478,Auclan 625 Tablet
14479,Atinax 10mg Tablet
14480,Anthol 125mg Tablet DT
14481,Acevis MR Tablet
14482,Aeloside 100mg/4mg Tablet
14483,Artebact 75mg Injection
14484,Alleset M Kid Tablet
14485,Azisur 500mg Tablet
14486,Axn-TS Tablet
14487,Adilo P 100mg/325mg Tablet
14488,Affycillin Capsule
14489,Azetro 250mg Tablet
14490,Axn-TS Tablet
14491,Afilex 200mg Capsule
14492,Aesmin S 100mg/15mg Tablet
14493,Alsium Tablet
14494,Azinew 200mg/5ml Suspension
14495,Alzokam 0.5mg Tablet
14496,Albact 1500mg Injection
14497,Axtel H 40mg/12.5mg Tablet
14498,Akupod 200 Tablet
14499,Arnacef O 200mg/200mg Tablet
14500,Actiflox 200mg Tablet
14501,Aixone 1000mg Injection
14502,Anfix 50mg Dry Syrup
14503,Aerocid 20mg Capsule
14504,Acevas 20 Tablet
14505,Aova-EZ 10mg/10mg Tablet
14506,Axizole DM 10mg/20mg Capsule
14507,Azimik 250mg Tablet
14508,Aece-DMR Tablet
14509,Amterex Syrup
14510,Actan P Oral Suspension
14511,ACPL 100mg/325mg Tablet
14512,Aloxis 100mg/325mg Tablet
14513,Aceplee-MR Tablet
14514,Atron 2mg Injection
14515,Amoxinga 125mg Dry Syrup
14516,Amthrocin 250mg Tablet
14517,Arteo LF 80 mg/480 mg Tablet
14518,Allwel CV LB 500mg/125mg Tablet
14519,Aldodec 25mg Injection
14520,Austipod 50mg Syrup
14521,Abzee 200mg Dry Syrup
14522,Alfucoz 200mg Tablet
14523,Abate-CZ Tablet
14524,Autic 250mg Injection
14525,Aardom 40mg Tablet
14526,Augmin-DS Dry Syrup
14527,Afib P 100mg/325mg Tablet
14528,Anglozole 200mg Suspension
14529,Adp 40mg Tablet
14530,Alcorim F Suspension
14531,Afcid D 10mg/40mg Tablet
14532,Azidale 500mg Tablet
14533,Axtl 500mg Tablet
14534,Amlocal-AT 5mg/50mg Tablet
14535,Amoxinga 125mg Dry Syrup
14536,Actan P Oral Suspension
14537,Aece-DMR Tablet
14538,Amox P 125mg Tablet
14539,Axizole DM 10mg/20mg Capsule
14540,Allwel CV LB 500mg/125mg Tablet
14541,Apsnal 5mg Tablet
14542,Arteo LF 80 mg/480 mg Tablet
14543,Amterex Syrup
14544,Acevas 20 Tablet
14545,Amthrocin 250mg Tablet
14546,Aova-EZ 10mg/10mg Tablet
14547,Azistic 200 Syrup
14548,Antoz 40mg Tablet
14549,Alzo 0.25mg Tablet
14550,Alifit XT 150mg/100mg Tablet
14551,Algeline 50mg Injection
14552,Alzorin P 0.25mg/10mg Tablet
14553,Asivol 2.5mg Tablet
14554,Amlica 10mg Tablet
14555,Alpramax 1mg Tablet SR
14556,Allord-CF Suspension
14557,Arident Toothpaste
14558,Amom-L 5mg/5mg Tablet
14559,Adifax-SP Tablet
14560,Axeclo-P 100mg/325mg Tablet
14561,Aclomas P 100mg/325mg Tablet
14562,Amisulnix 100mg Tablet
14563,Ansecare 4mg Injection
14564,Acelyf Tablet
14565,Acelomol-T4 Tablet
14566,Allceft-SB 1500 Injection
14567,Abzee 200mg Dry Syrup
14568,Austipod 50mg Syrup
14569,Abate-CZ Tablet
14570,Aardom 40mg Tablet
14571,Autic 250mg Injection
14572,Azidale 500mg Tablet
14573,Aciraz IT 20mg/150mg Capsule
14574,Arnie C Syrup
14575,Aszith 500 Tablet
14576,Actan SP 100mg/325mg/15mg Tablet
14577,Atiday 100mg Tablet
14578,Acemarc T 100 mg/4 mg Tablet
14579,Acezon P 100mg/325mg Tablet
14580,Amdinx 5mg Tablet
14581,Autotron 1000mcg Injection
14582,Aflaza 6 Tablet
14583,Alvitel 80mg Tablet
14584,Amoxek 500mg Capsule
14585,Aceclopat Forte 100mg/325mg Tablet
14586,Aceyo MR 100mg/325mg/250mg Tablet
14587,Alkezer 1.4gm Syrup
14588,Azirow 500mg Tablet
14589,Art 60mg Injection
14590,A Zol 40mg Tablet
14591,Aziline 250mg Tablet
14592,Alprose 0.25mg Tablet
14593,Autonec Gel
14594,Alprasan 0.25mg Tablet
14595,Amid 500mg Injection
14596,A Rex 25mg Tablet
14597,Acigesic MR Tablet
14598,Alda Tablet
14599,Altzibarem 0.5mg Tablet
14600,Asvogli 0.2mg Tablet
14601,Arsufact 50mg Tablet
14602,Aequimentin 1000mg/200mg Injection
14603,Actipraz LXR 75mg/40mg Capsule SR
14604,Alnac 100mg Tablet
14605,Acticod Syrup
14606,Alvitel CH 40mg/12.5mg Tablet
14607,Avilan 40mg Tablet SR
14608,Avnac Plus Koldd Suspension
14609,Azavio 250 Tablet
14610,Alopam 2mg Tablet
14611,Angipro 25mg Tablet XL
14612,Amoflox 200mg Tablet
14613,ACP PM Tablet
14614,Ambose 0.3mg Tablet
14615,Ami Tel 50mg Injection
14616,Asracef 500mg Injection
14617,Aztil 250mg Tablet
14618,Alprasys-P Tablet
14619,Addelo 650mg Tablet
14620,Azimont 250 Tablet
14621,Arozim 500mg Tablet
14622,Ambro GT Syrup
14623,Avclav 500mg/125mg Tablet
14624,Axinac Aqua 75mg Injection
14625,Atorbia 20mg Tablet
14626,Audifur 500mg Tablet
14627,AT Ease 180mg Tablet
14628,Artize 250mg Tablet
14629,Anicav-LB Tablet
14630,Atorsim F 10mg/160mg Tablet
14631,Acrofen P 100 mg/500 mg Tablet
14632,Astopan D 30mg/40mg Capsule SR
14633,Atevas 10mg Tablet
14634,Amendo 750mg Tablet
14635,Azecine 500mg Tablet
14636,Agrosin 250 Tablet
14637,Azbil 250mg Tablet
14638,Amiact 500mg Injection
14639,Azirace 250mg Tablet
14640,Azecine 500mg Tablet
14641,Agrosin 250 Tablet
14642,Andemox 500mg Capsule
14643,Azbil 250mg Tablet
14644,Acefon Plus Tablet
14645,Akutop D 30mg/40mg Capsule SR
14646,Abmolac Tablet
14647,Amex CL 250mg/250mg Capsule
14648,Antifal 80 Tablet
14649,Arfast P 100mg/325mg Tablet
14650,Alphavog M 0.2 mg Tablet
14651,Azirace 250mg Tablet
14652,Amoxylive CV Dry Syrup
14653,Azyxin Plus 250 mg/75 mg Tablet
14654,Apllinol 300mg Tablet
14655,Avmet GP 1mg/500mg/15mg Tablet SR
14656,AT Ease 180mg Tablet
14657,Arthur 75mg Injection
14658,Arither 150mg Injection
14659,Amiact 500mg Injection
14660,Atepres 50mg Tablet
14661,Antaseed Oral Suspension
14662,Alfugud-D Tablet
14663,Amendo 750mg Tablet
14664,Amtrone 2mg Oral Drops
14665,Abifal 150mg Injection
14666,Aclovin-MR Tablet
14667,Advicef 500mg Tablet
14668,Agtaz 4000mg/500mg Injection
14669,Avecid OS Syrup
14670,Aclovin-MR Tablet
14671,Aglomol SP 100mg/325mg/15mg Tablet
14672,Agtaz 4000mg/500mg Injection
14673,Avecid OS Syrup
14674,Abmolac Tablet
14675,Azi Faith 250mg Tablet
14676,Anoflox 400mg Tablet
14677,Adiflow Oral Suspension
14678,Asomet 2.5mg/25mg Tablet XL
14679,Act 100mg Tablet
14680,Aady 500mg Tablet
14681,Alvert 24mg Tablet
14682,Aprotin 500000IU Injection
14683,Ase 10mg Tablet
14684,Acneclear Soft Gelatin Capsule
14685,Ariof OZ 200mg/500mg Tablet
14686,Agroflox O 200mg/500mg Tablet
14687,Adflu 400 Tablet
14688,Ani Spa 10mg/150mg Tablet
14689,Alproflox 0.5mg/10mg Tablet
14690,Ampilac 500mg Capsule
14691,Alviof-OZ Tablet
14692,Amloman AT 5mg/50mg Tablet
14693,Apicobal P 750mcg/75mg Tablet
14694,Alfazoom 150mg Injection
14695,Afracot 6mg Tablet
14696,Adec 50mg Injection
14697,Altum 500mg Tablet
14698,Axaril-DX Syrup
14699,Amoc Kid 125mg Tablet
14700,Appedoz-T Syrup
14701,Amilact PT 4000 mg/500 mg Injection
14702,Anzi 0.25mg Tablet
14703,Anatram-P 50mg/325mg Tablet
14704,Arcer 50mg Capsule
14705,Actodol Injection
14706,Affovog-M3 Tablet SR
14707,AMI 500mg Injection
14708,Azidru 250mg Tablet
14709,Atorvir 10mg Tablet
14710,Acezof-Plus Tablet
14711,Acelyn MR 100mg/325mg/250mg Tablet
14712,Avphylline X Oral Drops
14713,Azibet 200mg Oral Suspension
14714,Azadi 500mg Tablet
14715,Alpronit 0.5mg Tablet
14716,Anxionil 1mg Tablet
14717,Apal SR 1.5mg Tablet
14718,Amty 10mg Tablet
14719,Afcid OS Oral Suspension
14720,Adcin 500mg Tablet
14721,Alclar 500 Tablet
14722,Abiros 20mg Tablet
14723,Afixe LB 50mg Tablet
14724,Ambenac 200mg Tablet SR
14725,Anidac 50mg Injection
14726,Artispar 200mg Tablet
14727,Azifed SF Kit
14728,Almocef 50mg Dry Syrup
14729,Arodox AZ 200mg/250mg Tablet
14730,Acetox P 100mg/500mg Tablet
14731,Autpan 40mg Tablet
14732,Alworm 200mg Suspension
14733,Albesun Syrup
14734,Allervict M Syrup
14735,Alpra G 0.25mg Tablet
14736,Anidac 50mg Injection
14737,Artispar 200mg Tablet
14738,Alclar 500 Tablet
14739,Alzoset 0.25mg/25mg Tablet
14740,Arodox AZ 200mg/250mg Tablet
14741,Alipod 100mg Dry Syrup
14742,Alertus 5mg Syrup
14743,Azimox 200mg Oral Suspension
14744,Admezol D 30mg/20mg Capsule
14745,Artiros 80mg/480mg Tablet
14746,Avtron 4mg Tablet MD
14747,Aziblaze 500mg Tablet
14748,Atenrite 50mg Tablet
14749,Azigo 100mg Oral Suspension
14750,Autonim-Plus Tablet
14751,August Dry Syrup
14752,Alentra 200mg Capsule
14753,Amuflu 150mg Tablet
14754,Ampant 40mg Tablet
14755,Alfadin Injection
14756,Actovis Plus 1500mcg Injection
14757,Axicold NL Tablet
14758,Avutin 10mg Tablet
14759,Andonac SP 100mg/325mg/15mg Tablet
14760,Atortino 20mg Tablet
14761,Amivay 500mg Injection
14762,Acesoft-TH4 Tablet
14763,Anapara 250mg Syrup
14764,Alerpin 5mg Tablet
14765,Apmore 2mg Syrup
14766,Angidec 50mg Injection
14767,ALERSIN M 5 MG/10 MG TABLET
14768,ACE 250MG/250MG INJECTION
14769,Amloact AT 5mg/50mg Tablet
14770,Amoxyrich-CV 500mg/125mg Tablet
14771,Awnacid 20mg Capsule
14772,Azisco 500mg Tablet
14773,Acnetat 20mg Capsule
14774,Angilo AM 50mg/5mg Tablet
14775,Allynex 250mg Injection
14776,Ametol 200mg Tablet
14777,Avcet-MK Tablet
14778,Afbro 100 Capsule
14779,Asozole D 10mg/20mg Capsule
14780,Azisten 250 Tablet
14781,Airomol 100 mg/2 mg Liquid
14782,Aglorab D 30mg/20mg Capsule SR
14783,Accumet GM 1mg/500mg Tablet
14784,Adicold Oral Suspension
14785,Alclor Suspension
14786,Azyflag 250mg Tablet
14787,Arthophen 25mg Injection
14788,Arpinim 100mg Tablet
14789,Acecloud P 100mg/325mg Tablet
14790,Azisten 250 Tablet
14791,Airomol 100 mg/2 mg Liquid
14792,Aglorab D 30mg/20mg Capsule SR
14793,Accumet GM 1mg/500mg Tablet
14794,Amoxiv CV LB 500mg/125mg Tablet
14795,Azcin AM 500mg/60mg Tablet
14796,Aceparz MR 100mg/325mg/250mg Tablet
14797,Abflox O 50mg/125mg Suspension
14798,AZ 250mg Tablet
14799,Ampurin C 500mg/500mg Injection
14800,Alenzer-T Tablet
14801,Asimol-DC 20mg/500mg Tablet
14802,Aeroclav 500mg/125mg Tablet
14803,Antima 100mg Syrup
14804,Avspas Plus 20mg/325mg Tablet
14805,Ansecare 4mg Tablet MD
14806,Acu SP 100mg/325mg/15mg Tablet
14807,Acephilin 200 Tablet SR
14808,Aritrax M 500mg/250mg Tablet
14809,Acugel Oral Suspension
14810,Actopan 40mg Injection
14811,Asdol-P Tablet
14812,Axevas 10mg Tablet
14813,Antibin Kid 100 mg/50 mg Tablet
14814,Antizide 750mg Tablet
14815,Axytee 250 Injection
14816,Aziraj 200mg Oral Suspension
14817,Anclof SP 100mg/325mg/15mg Tablet
14818,Aztime 500 Tablet
14819,Avcef S 1000mg/500mg Injection
14820,Azipril 200mg Syrup
14821,Avimol 650mg Tablet
14822,Azin CX Kid Tablet
14823,Alirab IT 20mg/150mg Capsule
14824,Aszone 1gm Injection
14825,Aelzime 250mg Tablet
14826,Acenet MR 50mg/325mg/250mg Tablet
14827,Aircef 50mg Tablet DT
14828,Anatrix 250mg Injection
14829,Abicet M Syrup
14830,AB CV 500mg/125mg Tablet
14831,Acycloveer G 200mg Tablet
14832,Alcelak 20mg Tablet
14833,Arth Care 50mg Tablet
14834,Apitrax 100mg Tablet
14835,Astrapenem Injection
14836,Azikos 250mg Tablet
14837,Amocef Oral Suspension
14838,Atorcia 20mg Tablet
14839,Abtelmi 80 Tablet
14840,AV Cid MF 500mg/250mg Tablet
14841,Alflam Kold Tablet
14842,Accuglim MP 1mg/500mg/15mg Tablet
14843,Afesan-SP Tablet
14844,Autidine 20mg Tablet
14845,Arstatin 20 Tablet
14846,Axioff 50mg Suspension
14847,Angit 60mg Tablet
14848,Allotive 100mg Tablet
14849,Axeze 500 Tablet
14850,Alervo M Syrup
14851,Acin 250mg Tablet
14852,Asom 20mg Capsule
14853,Artzen 20 Tablet
14854,Atycort 30mg Tablet
14855,Amlobrex 5 Tablet
14856,Aripride 16mg Tablet
14857,Arirab 20mg Tablet ER
14858,Acemox 500mg Capsule
14859,Amoxylla CLA 500mg/125mg Tablet
14860,Anclav 625 Tablet
14861,Afuza 150mg Tablet
14862,Azcin AM 250 mg/60 mg Tablet
14863,Atovin-EZ 10mg/10mg Tablet
14864,Azu OD 200mg/5ml Syrup
14865,Analda Tablet
14866,Acepra MR 100mg/325mg/250mg Tablet
14867,Aridone Oral Drops
14868,Amineg 100mg Injection
14869,Amicom 500mg Injection
14870,Acontop D 30mg/40mg Capsule SR
14871,Alcip-TZ 500mg/600mg Tablet
14872,Avupan L 75mg/40mg Capsule SR
14873,Alertin 10 Tablet
14874,A Niclo SP Tablet
14875,Aceclocare 100mg Tablet
14876,Aci MR 100mg/500mg/250mg Tablet
14877,Alotam 500mg Tablet
14878,Azigram 250mg Tablet
14879,Apel 4mg Tablet
14880,Aceta Cold Syrup
14881,Amlol-AT 5mg/50mg Tablet
14882,Atol H 25mg/12.5mg Tablet
14883,Aleersin-M Tablet
14884,Avicaine Oral Suspension
14885,AzEarly 80 Tablet
14886,Avicof X Syrup
14887,Ampilong 250 mg/250 mg Tablet
14888,Azymit 500mg Tablet
14889,Av Dp 10mg/10mg/5mg Tablet
14890,Azlice 250 Tablet
14891,Augmin Dry Syrup
14892,Atorbia 10mg Tablet
14893,Axaflam 100mg/325mg Tablet
14894,Adlecof D Syrup
14895,Amoxytop-Plus Capsule
14896,Asnac A 200mg Tablet SR
14897,Apidry 20mg Injection
14898,AXMX 500mg Tablet
14899,Amthrocin 100mg Syrup
14900,Avolicia Cream
14901,Alboven 400mg Chewable Tablet
14902,Asirox 150mg Tablet
14903,Amyrab D 10mg/20mg Tablet
14904,Ahz 500mg Tablet
14905,Aztim 500 Tablet
14906,Acobmin 500mcg Injection
14907,Atmoclav-Duo Oral Suspension
14908,Atony 10mg/250mg Tablet
14909,Avitla 250mg Tablet
14910,Amofix 500mg/125mg Tablet
14911,Azilynn 500mg Tablet
14912,Axces 100mg Tablet
14913,Amlochol 5 mg/10 mg Tablet
14914,Adzolid 600 Tablet
14915,Agpar 125mg/5ml Suspension
14916,Aciben 20mg Capsule
14917,Aclolife P 100mg/325mg Tablet
14918,Ailderm 250 Tablet
14919,Amzol 40mg Injection
14920,Acepa P 100mg/325mg Tablet
14921,Asorin M2 Extra Tablet PR
14922,Acmeglim M Forte 1mg/1000mg Tablet
14923,Amivane 50mg Tablet
14924,Aluzit 300 Tablet
14925,Abidom-DT 10 Tablet
14926,Aminodec 25mg Injection
14927,Angofen-MR Tablet
14928,Alzene CC 60mg/10mg/2.5mg Tablet
14929,Apmupi Ointment
14930,Achwel P 100mg/325mg Tablet
14931,Anol 100mg Tablet
14932,Azo-F 0.25mg/20mg Tablet
14933,Amytus 10mg Tablet
14934,Adle Eye Drop
14935,Ayracet M 5mg/10mg Tablet
14936,Artival 10mg Tablet
14937,Acipant 40mg Injection
14938,Aeroser 50mg/10mg Tablet
14939,Alzopam 0.5mg Tablet
14940,Aeroser 50mg/10mg Tablet
14941,Alp FT 0.25mg/20mg Tablet
14942,Astegest 400mg Soft Gelatin Capsule
14943,Acebrin 100 Capsule
14944,Acnoval N Cream
14945,Acelza-MR Tablet
14946,Acebroput 200mg Tablet SR
14947,Afenasol 0.5mg Tablet
14948,Almoclav 625 Tablet
14949,Abhinim Plus 100mg/325mg/15mg Tablet
14950,Abisef 500mg Tablet
14951,Acipant 40mg Injection
14952,Artival 10mg Tablet
14953,Anziroot 90mg/48mg/100mg Tablet
14954,Amli AT 5mg/50mg Tablet
14955,Achenil T 100mg/4mg Tablet
14956,Acidlux Oral Suspension
14957,Albe 200mg Suspension
14958,Anaxime-O Tablet
14959,Azioh 500 Tablet
14960,Azihit 500mg Tablet
14961,Alprocyp Syrup
14962,Alsef O 100mg Tablet
14963,Acevog T 100mg/4mg Tablet
14964,Analgiawin S 50mg/325mg/10mg Tablet
14965,Adicobal Injection
14966,Auxime CV 200mg/125mg Tablet
14967,Asert CV 200mg/125mg Tablet
14968,Anaxime 100mg Tablet
14969,Alflaz 30mg Tablet
14970,Anmox 500mg Tablet
14971,Aquadic Injection
14972,Acancef O 200mg/200mg Tablet
14973,Altec 200mg Suspension
14974,Aridus 10mg Tablet
14975,AC Fresh Liquid
14976,Arilex Capsule
14977,Acloled MR 100mg/325mg/250mg Tablet
14978,Anglogel Mps Syrup
14979,Actibro AT Syrup
14980,Altole-D 10mg/40mg Tablet
14981,Arzi 1000mg Injection
14982,Afesan 100mg Tablet
14983,Agile 25mg Injection
14984,Ales M 5mg/10mg Tablet
14985,Acneven 300mg Capsule
14986,Ayracet M 5mg/10mg Tablet
14987,Albendacool 200mg Tablet
14988,Azo-F 0.25mg/20mg Tablet
14989,Amytus 10mg Tablet
14990,Asoformin 500mg Tablet
14991,Alp FT 0.25mg/20mg Tablet
14992,Adle Eye Drop
14993,Alezol D 10mg/20mg Capsule
14994,Alzopam 0.5mg Tablet
14995,Aeroser 50mg/10mg Tablet
14996,Amli AT 5mg/50mg Tablet
14997,Anziroot 90mg/48mg/100mg Tablet
14998,Achenil T 100mg/4mg Tablet
14999,Acidlux Oral Suspension
15000,Acebroput 200mg Tablet SR
15001,Afenasol 0.5mg Tablet
15002,Acnoval N Cream
15003,Acelza-MR Tablet
15004,Acebrin 100 Capsule
15005,Almoclav 625 Tablet
15006,Abhinim Plus 100mg/325mg/15mg Tablet
15007,Astegest 400mg Soft Gelatin Capsule
15008,Azioh 500 Tablet
15009,Abisef 500mg Tablet
15010,Acesol Plus-MR Tablet
15011,Amcef 500mg Injection
15012,Analgiawin S 50mg/325mg/10mg Tablet
15013,Anihist P Syrup
15014,Alflaz 30mg Tablet
15015,Auxime CV 200mg/125mg Tablet
15016,Adicobal Injection
15017,Anaxime 100mg Tablet
15018,Agroflox 200mg Tablet
15019,Apod 200 Tablet DT
15020,Asert CV 200mg/125mg Tablet
15021,Aceten P Tablet
15022,Azidobid 500mg Tablet
15023,Antiflame Injection
15024,Aeorab D 30mg/20mg Capsule SR
15025,AR AB 150mg Injection
15026,Amtrone 4mg Tablet MD
15027,Adcob 100mg Injection
15028,Aclon 100mg Tablet
15029,Acedrot 80mg/100mg Tablet
15030,Actiflox-P Tablet
15031,Arfast MR 100mg/325mg/250mg Tablet
15032,Apit C Oral Drops
15033,Aclon 100mg Tablet
15034,Acefe 200mg Tablet
15035,Acuflu Tablet
15036,Adiproz 40 Tablet
15037,Alcef 50mg Tablet
15038,Acillect Tablet
15039,Anticox II Kid   100 mg/100 mg Tablet
15040,Acent PT 100mg/325mg/37.5mg Tablet
15041,Abitol 800mg Tablet
15042,Acty P 325mg/37.5mg Tablet
15043,Acetox Syrup
15044,Arbetol 200mg Tablet
15045,Atenil 100mg Tablet
15046,Asoride MP 1mg Tablet
15047,Actual Syrup
15048,Anzipan 40mg Injection
15049,Anzi-P 0.25mg/20mg Tablet
15050,Axipram 10mg Tablet
15051,Acnklear Gel
15052,Abidrox 10 Tablet
15053,Airbus 50mg Tablet
15054,Aniflam 20mg Tablet
15055,Asifen Oral Suspension
15056,Acsent 100mg Tablet
15057,Asticef LB 200mg Tablet
15058,Acesol Plus-SP Tablet
15059,Astrac 500mg Injection
15060,Acty P 325mg/37.5mg Tablet
15061,Anzipan 40mg Injection
15062,Asifen Oral Suspension
15063,Asticef LB 200mg Tablet
15064,Abidrox 10 Tablet
15065,Acsent 100mg Tablet
15066,Arcefim 200mg Tablet
15067,Acesol Plus-SP Tablet
15068,Axime OZ 200mg/500mg Tablet
15069,Azet 250mg Tablet
15070,Astrac 500mg Injection
15071,Azilup 200mg/5ml Suspension
15072,Azimor 250mg Tablet
15073,Anfix 100mg Tablet DT
15074,Acnenix P 100mg/325mg Tablet
15075,Anaxime-CV Tablet
15076,Atimont 5mg Tablet
15077,Avopod 50mg Dry Syrup
15078,Actocef-S 250mg/125mg Injection
15079,ARPITOR 20MG TABLET
15080,Ancidox 200mg Tablet
15081,Avelpin 250mg Injection
15082,Aldolot N 5mg Tablet
15083,A2 Bact 1000mg/500mg Injection
15084,Avithro 500 Tablet
15085,Aroxim OF LB 200mg/200mg Tablet
15086,A-Cet 10mg Tablet
15087,Azotas 250mg Tablet
15088,Aceker Dsp Tablet
15089,Acipact Syrup
15090,Avutin 20mg Tablet
15091,Alfacone 150mg Tablet
15092,Axone 250mg Injection
15093,Astomycine 250mg Tablet
15094,Abcog LG Syrup
15095,Atwin AM 5 mg/50 mg Tablet
15096,Acenal Safe 100mg Tablet
15097,Ace-Rabinom Tablet
15098,Artivin 250mg Tablet
15099,Ambiril-LS Syrup
15100,Abiron Injection
15101,Amlotain AT 5mg/50mg Tablet
15102,Altaxel 260mg Injection
15103,Amikavin 500mg Injection
15104,Anace MR Tablet
15105,Ayatel 20 Tablet
15106,Atorkem 20mg Tablet
15107,Avgesic-P Tablet
15108,Anitus D Syrup
15109,Arcand 50mg Injection
15110,Artee 150mg Injection
15111,Acenarv Tablet
15112,Auxime DS Suspension
15113,Asmero 1gm Injection
15114,Acec 200mg Tablet SR
15115,Alcip-B Eye Drop
