,name,
8877,Arifate O Oral Suspension,
8878,Anoxim 200mg Tablet,
8879,Apygain Syrup,
8880,Amdac 5mg Tablet,
8881,ALCYCLIN 250 MG CAPSULE,
8882,AV Cox 90mg Tablet,
8883,Azvel 500mg Tablet,
8884,Allerdine 0.1% Eye Drop,
8885,Acicot O Suspension,
8886,Alcibard Forte Tablet,
8887,Aclav 500 mg/125 mg Tablet,
8888,Actsun-LS 75mg/20mg Capsule SR,
8889,Acito-P Oral Suspension,
8890,Acetak Plus 100mg/500mg Tablet,
8891,Azic 250mg Tablet,
8892,Anginac P 100mg/325mg Tablet,
8893,Alfi 200mg/200mg Tablet,
8894,Alfexo 180mg Tablet,
8895,Acezine Plus Syrup,
8896,Actimarin 70mg/150mg Tablet,
8897,Abitor F 10mg/160mg Tablet,
8898,Amrol 5mg/50mg Tablet,
8899,Ace Plus Syrup,
8900,Aripitex 10mg Tablet,
8901,Avirab DSR 30mg/20mg Capsule,
8902,Asthafree 1mg Syrup,
8903,Acelro-SP Tablet,
8904,Axicold L Tablet,
8905,Amlotec-AT 5mg/50mg Tablet,
8906,Anthro 50mg Capsule,
8907,Alencuf DX Syrup,
8908,Avmol 650 Tablet,
8909,Aclonova-MR Tablet,
8910,Aripiren 15mg Tablet,
8911,AL Dew Eye Drop,
8912,Alpose 0.25mg Tablet,
8913,Atmont 20mg Tablet,
8914,Alkalife Liquid Ice Cream,
8915,Acidcom-DSR 30mg/40mg Capsule,
8916,Acezon MR 100mg/325mg/250mg Tablet,
8917,Acord M 5mg/50mg Tablet,
8918,Azbact 500mg Tablet,
8919,Altiazem 30mg Tablet,
8920,Azelon 1mg Tablet,
8921,Ache X Tablet,
8922,Amefur 100 mg/100 mg Syrup,
8923,Acronac-SP Tablet,
8924,Albimol MF Suspension,
8925,Altapan 40mg Tablet,
8926,Actoflox Forte Suspension,
8927,Albrim 2% Eye Drop,
8928,Arpzin M Tablet,
8929,Azunate L 240 mg/40 mg Tablet,
8930,Ancoril Syrup,
8931,Adcox-P Tablet,
8932,Alese 500mg Injection,
8933,Amidase DP Tablet,
8934,Amiron 500mg Injection,
8935,AN 250 Tablet,
8936,Adplatin 100mg Injection,
8937,Aboderm Plus Cream,
8938,Amiwave 200 Tablet,
8939,Amyclav-LB 625 Tablet,
8940,Acimar Syrup,
8941,Aripicon 5 Tablet,
8942,Avopod 200mg Tablet DT,
8943,Adplatin 100mg Injection,
8944,Amiwave 200 Tablet,
8945,Avibact S 1000mg/500mg Injection,
8946,Aboderm Plus Cream,
8947,Acrovin 100mg Injection,
8948,Arpidox 25mg Tablet,
8949,Acemak TH 4mg/100mg/325mg Tablet,
8950,Aldrone 50mg Injection,
8951,ALIANZ 100 MG/20 MG CAPSULE,
8952,Avox O 200mg/500mg Tablet,
8953,Atpark 100mg Tablet,
8954,ACNE IT GEL,
8955,Arolact Oral Solution,
8956,Amilyst 200mg Tablet SR,
8957,Alvotin 10 CP Capsule,
8958,Azoff 200mg Tablet,
8959,Acemo MR Tablet,
8960,Amyclav-LB 625 Tablet,
8961,Advadox 20mg Injection,
8962,Ampride 50mg Tablet,
8963,Amilite 75mg Tablet,
8964,Atjoint Tablet,
8965,Aziros 250mg Tablet,
8966,Astadin 10mg Tablet,
8967,Adrenocort 30mg Tablet,
8968,Antiflox 500mg Tablet,
8969,Afforex Sugar Free Syrup,
8970,Afforex Sugar Free Syrup,
8971,Azipril 500mg Tablet,
8972,Antiflox 500mg Tablet,
8973,Alfoxin 200mg Tablet,
8974,Amal T 100mg Tablet,
8975,Aciclofit 500 Injection,
8976,Anthex Syrup,
8977,Alur 100mg Tablet,
8978,Amoplus Capsule,
8979,Angiosar 40mg Tablet,
8980,Abcef O Dry Syrup,
8981,Alpra P 0.25mg/20mg Tablet,
8982,Alcold Plus Tablet,
8983,Ambose M 500mg/0.3mg Tablet,
8984,Andol 25mg Injection,
8985,Acobal G 300mg/500mcg Capsule,
8986,Armizol IV 12mg/400mg Tablet,
8987,Asthacold DX Syrup,
8988,Abactum CV 500mg/125mg Tablet,
8989,Acnofair Softgel Capsule,
8990,AP Cef 200mg Tablet,
8991,Artebact 150mg Injection,
8992,Avigel-Mps Syrup Mint Sugar Free,
8993,Alcit 5mg Tablet,
8994,Aldezole 200mg Suspension,
8995,Acon Tablet,
8996,Alip 10mg Tablet,
8997,Agrogesic Plus Gel,
8998,Amika 100mg Injection,
8999,Augpen 250 mg/125 mg Tablet,
9000,Amika 100mg Injection,
9001,Agrogesic Plus Gel,
9002,Atosta F Tablet,
9003,Askoff A Syrup,
9004,Augpen 250 mg/125 mg Tablet,
9005,Aceact 100mg Tablet,
9006,Amtax 250mg Injection,
9007,Amitax 50mg Injection,
9008,Azek 250mg Tablet,
9009,Augus-CV 500mg/125mg Tablet,
9010,Aride 100mg Tablet,
9011,Azitroy 500mg Tablet,
9012,Atmost 25mg Tablet,
9013,Amypres C 12.5 mg/5 mg Tablet,
9014,Aztec D 10mg/150mg Tablet,
9015,Analtra Tablet DT,
9016,Alfupro 10mg Tablet,
9017,Acnegon 1% Gel,
9018,Arza 10mg Tablet,
9019,Astagon LS Syrup,
9020,Aptan Syrup,
9021,Azeone 250mg Tablet,
9022,Amoxolin CV DS Dry Syrup,
9023,Amconazole 100 Capsule,
9024,Acezol P 100mg/325mg Tablet,
9025,Aciz 200mg Tablet SR,
9026,Ab-CV KID Syrup,
9027,Airsurge Syrup,
9028,Amimac 250mg Injection,
9029,Amter Syrup,
9030,Ab-CV KID Syrup,
9031,Aclomil-P Tablet,
9032,Alser 10mg Tablet,
9033,Axetuss Syrup,
9034,Atopin A 5mg/50mg Tablet,
9035,Adlipan 40mg Tablet,
9036,Azlupin 100mg Tablet DT,
9037,Aciz 200mg Tablet SR,
9038,Amter Syrup,
9039,Amimac 250mg Injection,
9040,Aquatel AM 40 Tablet,
9041,Atigal 50mg Tablet,
9042,Avpred 125mg Injection,
9043,Amylib CV 500mg/125mg Tablet,
9044,Acupil 20mg Tablet,
9045,Atmost 50mg Tablet,
9046,Adinim Plus 100 mg/500 mg Tablet,
9047,Acota MR Tablet,
9048,Acota 100mg Tablet,
9049,Aspifast Gel,
9050,Acidom O 4 mg/150 mg Tablet,
9051,Azeviv 15% Cream,
9052,Acipant 40mg Tablet,
9053,Asolac Syrup,
9054,Azetop 500mg Tablet,
9055,Alofen M 10mg/120mg Tablet,
9056,Apar SP 100mg/500mg/15mg Tablet,
9057,Azilma 80 Tablet,
9058,Anmol D 10mg/325mg Tablet,
9059,Azutan 80 Tablet,
9060,Albactam 1.5gm Injection,
9061,Alkof Liquid,
9062,Azirock 250mg Tablet,
9063,Adnoliv 300mg Tablet,
9064,Amifast SP Tablet,
9065,Acegem P 100mg/325mg Tablet,
9066,Amc Oral Suspension,
9067,Alentos 0.5mg Tablet,
9068,Azimist 500mg Tablet,
9069,Ambolev AM 5mg/75mg Tablet,
9070,Azovid 250mg Tablet,
9071,Aciless LS 75 mg/20 mg Capsule,
9072,Aelonac-P Tablet,
9073,Aziwok Stat 200mg Syrup,
9074,Alvo Syrup,
9075,Acycloveer G 400mg Tablet,
9076,Abhay M Injection,
9077,Alles D Tablet,
9078,Avcort 6mg Tablet,
9079,Azidos 250mg Tablet,
9080,Avpred 500mg Injection,
9081,Actin Cold Tablet,
9082,Almocef CV 200mg/125mg Tablet,
9083,Arexol P 4 mg/500 mg/5 mg Syrup,
9084,Acord A Tablet,
9085,Aziro 250mg Tablet,
9086,Alicif 200mg Tablet,
9087,Alcetra Plus Tablet,
9088,Axicort 6mg Tablet,
9089,Abozith 250mg Tablet,
9090,Ariford 10mg Tablet MD,
9091,Accpar-SP Tablet,
9092,Agidol 10 Tablet,
9093,Aspra-DSR Capsule,
9094,Aceclorab-SR Capsule,
9095,Aclox 250mg Injection,
9096,Antec 150mg Tablet,
9097,Azileb 200mg/5ml Suspension,
9098,Appella 100mg/500mg Capsule,
9099,Arh Plus 60mg Injection,
9100,Asixim 200mg Tablet,
9101,Antasafe Oral Suspension,
9102,Abcid 20mg Capsule,
9103,Alleto-L Tablet,
9104,Appiforte Syrup,
9105,Adglim M Forte 1mg/1000mg Tablet,
9106,Azibet 250mg Tablet,
9107,Aga Xl Solution,
9108,Ansicalm 0.25mg Tablet,
9109,Aloclin 1% Gel,
9110,Avidol P 37.5mg/325mg Tablet,
9111,Almont 4mg Chewable Tablet,
9112,Amlopride 5mg Tablet,
9113,Azi Q 500mg Tablet,
9114,Aziliv 250mg/250mg Tablet,
9115,Aropan 1000mg Injection,
9116,Arpicet 10mg Tablet,
9117,Akair LC 5 mg/10 mg Tablet,
9118,Alfate 1000mg Suspension,
9119,Amipheral 50mg Tablet,
9120,Airvoiz M 5mg/10mg Tablet,
9121,Amonic 500mg/125mg Tablet,
9122,Acipant DSR 30mg/40mg Capsule,
9123,Angibrad 5mg Tablet,
9124,Alcofen 400mg/500mg Tablet,
9125,Avaslip 10mg Tablet,
9126,Ace-X 100mg/500mg Tablet,
9127,Atease ES 0.5 mg/5 mg Tablet,
9128,Acfc Plus Tablet,
9129,Alpra 0.5mg Tablet,
9130,Ambifast Syrup,
9131,Alprozam 0.25mg Tablet,
9132,Alkaroz 1.4gm Syrup,
9133,Abdaz Oral Suspension,
9134,Alkalens Syrup,
9135,Aziceft L Dry Syrup,
9136,Amitrip C Tablet,
9137,Azimor 500mg Tablet,
9138,Amoxy-DJ 250mg/250mg Capsule,
9139,Akcepar-DS Capsule,
9140,Azoclave 500mg/125mg Tablet,
9141,Aspeeday 150mg Tablet ER,
9142,Acetec P 100mg/500mg Tablet,
9143,Acin 500mg Tablet,
9144,Acceclomax Plus Syrup,
9145,Amisride 100mg Tablet,
9146,Azitime 500mg Tablet,
9147,Amikater 500mg Injection,
9148,Alrand 10mg/20mg Tablet,
9149,Apectin 4mg Tablet,
9150,Acepar 200mg Tablet,
9151,Azitime 500mg Tablet,
9152,Amisride 100mg Tablet,
9153,Amix 500mg Injection,
9154,Ambuin Syrup,
9155,Axtel 40mg Tablet,
9156,Ativis Eye Drop,
9157,Abzee 500mg Tablet,
9158,Abicet-M Tablet,
9159,Atormax 20mg Tablet,
9160,Ambrocet LS Syrup,
9161,Aknea 10 Softgel Capsule,
9162,Axitan 2mg Injection,
9163,Ariphrenz 30mg Tablet,
9164,Aerocef 100mg Tablet,
9165,Acenus Plus 100mg/325mg/15mg Tablet,
9166,Aciv 200mg Tablet,
9167,Alopine 2.5mg Tablet,
9168,Axtor 20mg Tablet,
9169,Azcool 2% Dusting Powder,
9170,Amsha Forte 25mg/10mg Tablet,
9171,Anogyl 400mg Tablet,
9172,Albenda 400mg Tablet,
9173,Amilyst 50mg Tablet,
9174,Augmed Kid 200mg/28.5mg Tablet,
9175,Abizole 20mg Tablet,
9176,Aci 200mg Tablet,
9177,Albactin 500mg Tablet,
9178,Arh 120mg Injection,
9179,Azumin 250mg Tablet,
9180,Aquamist 0.5% Eye Drop,
9181,Aceclonac MR 100mg/325mg/250mg Tablet,
9182,Albuwell Plus 6mg/400mg Tablet,
9183,Acebon-SP 100mg/325mg/15mg Tablet,
9184,Averm Plus 6mg/400mg Tablet,
9185,Abizole 20mg Tablet,
9186,Azactum 1gm Injection,
9187,Acemol MF Syrup,
9188,Acilowir 400mg Tablet,
9189,Aziswift 100mg Syrup,
9190,Aviglip MF Tablet,
9191,Anset G 3mg Injection,
9192,Arnold 100mg Tablet DT,
9193,Aldicord 8mg Tablet,
9194,Amikapen 500mg Injection,
9195,Ace Cold Syrup,
9196,Aceclocef-P Tablet,
9197,Algesia 100mg Tablet SR,
9198,Autoliv 5gm Injection,
9199,Ateros 5mg Tablet,
9200,Ayufen 100mg/325mg Tablet,
9201,Azivin 500mg Tablet,
9202,Aller Eze 10mg Tablet,
9203,Alprocontin 1mg Tablet,
9204,Amsar AT 5mg/50mg Tablet,
9205,Azitrop 500mg Tablet,
9206,Acegrand P 100mg/325mg Tablet,
9207,Alecta S Tablet,
9208,Alfutag D 10mg/0.5mg Tablet,
9209,Acepra Tablet,
9210,A-Plus 100mg/325mg Tablet,
9211,Acnac 200mg Tablet SR,
9212,Acloriv 5% Cream,
9213,Alenpod CV 200mg/125mg Tablet,
9214,Allrite M 5mg/10mg Tablet,
9215,Acexime 200mg Tablet,
9216,Avertz 150mg Tablet,
9217,Abifix 200mg Tablet,
9218,Aciz MR Tablet,
9219,Aziral 500mg Tablet,
9220,Antasafe Plus Oral Suspension Sugar Free,
9221,Aceliv-TH Tablet,
9222,Acibofil-LM 10mg/5mg/200mg Tablet,
9223,Arnocin 100mg Capsule,
9224,Ampod 200mg Tablet,
9225,Acedil 100mg/325mg Tablet,
9226,Alevict 2.5mg/5ml Syrup,
9227,Analgiawin Oral Suspension,
9228,Aroclav 500mg/125mg Tablet,
9229,Amlok AT 5mg/50mg Tablet,
9230,Axaril-AM Syrup,
9231,Aceclonac P 100mg/325mg Tablet,
9232,Aclotem-SP Tablet,
9233,Abipan-DM Tablet,
9234,Allercos NX 10mg/120mg Tablet,
9235,Adi Flu 150mg Tablet,
9236,Azcal 1250mg/250IU Tablet,
9237,Allpride M 2mg/500mg Tablet,
9238,Aciherpin 400mg Tablet,
9239,Acezit-MR Tablet,
9240,Ara-P Tablet,
9241,Actum 4mg/0.5mg Injection,
9242,Azifast 100mg/5ml Syrup,
9243,Anset 8mg Injection,
9244,Aclonac-TH 4 Tablet,
9245,Alcephin PX 500mg Capsule,
9246,Atiola 5mg Tablet MD,
9247,Auzidob 500mg Tablet,
9248,Azikem 200mg Tablet,
9249,AD Cough S Syrup,
9250,Azicin 500mg Tablet,
9251,Anafil 600mg Tablet,
9252,Acipact-XL Tablet,
9253,Aldec 50mg Injection,
9254,Ayufen SP 100mg/325mg/15mg Tablet,
9255,Anafos 50mg Injection,
9256,Amlogard TM 5 mg/80 mg Tablet,
9257,Alenev 5mg Tablet,
9258,AZITRAX 500MG INJECTION,
9259,Aclotec 100mg Tablet,
9260,Apanta D 10mg/40mg Tablet,
9261,Alzom 0.25mg Tablet,
9262,Arrest 500mg/12.5mg/10mg Tablet,
9263,Ambilor 8mg Tablet,
9264,Averdot M 80mg/250mg Tablet,
9265,Acibloc 150mg Tablet,
9266,Actidex Syrup,
9267,Azcort 30 Tablet,
9268,Avino AM 5mg/50mg Tablet,
9269,Agward 200 LB Tablet,
9270,Agward 200 LB Tablet,
9271,Avino AM 5mg/50mg Tablet,
9272,Amicef 100mg Tablet,
9273,Azcort 30 Tablet,
9274,Acenor-P 100mg/500mg Tablet,
9275,Amosym CV 1000mg/200mg Injection,
9276,Antimal 80mg/480mg Tablet,
9277,Amlofit-AT Tablet,
9278,Asozen-TH Tablet,
9279,Ambrocin L Syrup,
9280,ALM 80 Tablet,
9281,Adronis 4mg Injection,
9282,Azidoc 500mg Tablet,
9283,Azisten 500 Tablet,
9284,Altase Plus Tablet,
9285,Azison 250mg Tablet DT,
9286,Aquadol P 100mg/325mg Tablet,
9287,Ampurin 1000mg Injection,
9288,Aflox OZ 200mg/500mg Tablet,
9289,Amolin AT 5mg/50mg Tablet,
9290,AVESSA 6 MCG/500 MCG CAPSULE,
9291,Atix 10 Tablet,
9292,Afdicold Tablet,
9293,Alerg Total 75mg/5mg/10mg Tablet,
9294,Azithas 250mg Tablet,
9295,Ankon 120mg Tablet,
9296,Acetop P 100mg/325mg Tablet,
9297,Azoflox OZ Syrup,
9298,Azibert 250 Tablet,
9299,Advaller 500mg/125mg Tablet,
9300,Advaller 500mg/125mg Tablet,
9301,Allegone 5mg Tablet,
9302,Axypent 40mg Tablet,
9303,Acrobat 50mg Tablet,
9304,Alzokam 0.25mg Tablet,
9305,Adoc MR Tablet,
9306,Ambivit 1500mcg Injection,
9307,Amil 5 Tablet,
9308,Aipra-D Capsule,
9309,Arijoy 15 Tablet,
9310,Alpa Dex 4mg Injection,
9311,Acyclor 200mg Tablet,
9312,Acipact R 200mg/20mg Capsule,
9313,Alzero M Kid 2.5 mg/4 mg Tablet,
9314,Azimore 500mg Tablet,
9315,A Cold Suspension,
9316,Acmol 100mg/500mg Tablet,
9317,Agyvit-G Tablet,
9318,Aviflox 400mg Tablet,
9319,Acmox 500mg Capsule,
9320,Acesam 100mg/325mg/15mg Tablet,
9321,Abrotus DX Junior Syrup,
9322,Ambroved TG Syrup,
9323,Aritom 100mg Syrup,
9324,Anigesic MR 100mg/325mg/250mg Tablet,
9325,Aspire 9mg Tablet XR,
9326,A Tide 50mg Injection,
9327,Aticus SP 100mg/325mg/15mg Tablet,
9328,Actispor 200mg Capsule,
9329,Airway BR 2mg/4mg Syrup,
9330,Apgesic-S Tablet,
9331,Azplat 75mg Tablet,
9332,Arilex 50mg Capsule,
9333,Altradol Gel,
9334,Ampicon 200mg Tablet,
9335,Antipres 50mg Tablet,
9336,Asipan-D 10mg/40mg Tablet,
9337,Amloven 5mg Tablet,
9338,Avimol M Tablet,
9339,Aflate N 250mg Tablet,
9340,Acnova 20mg Capsule,
9341,Asitor C 10mg/75mg Tablet,
9342,Anzicyp Syrup,
9343,Arogat Eye Drop,
9344,Aginac-SP Tablet,
9345,Alotop 25 Tablet,
9346,Altipod CV 100mg/62.5mg Tablet DT,
9347,Alaquin 200mg Tablet,
9348,Apodon 200mg Tablet,
9349,Acticef 1000mg Injection,
9350,Antilox 200mg Tablet,
9351,Alstat 250mg Injection,
9352,Amikef 100mg Injection,
9353,Avicus 40mg Tablet,
9354,Actiderm 200mg Capsule,
9355,Alkal Suspension,
9356,Azecas 500mg Tablet,
9357,Amwel 5mg Tablet,
9358,Azlupin 250mg Tablet,
9359,Asterex D Syrup,
9360,Asterex D Syrup,
9361,AC 200mg/28.5mg Syrup,
9362,Avicus 40mg Tablet,
9363,Azecas 500mg Tablet,
9364,Alstat 250mg Injection,
9365,Amikef 100mg Injection,
9366,Acizac SP 100mg/325mg/15mg Tablet,
9367,Allermont L 5mg/10mg Tablet,
9368,Arotone TCL Syrup,
9369,Azvas CV 40mg/75mg Tablet,
9370,Avreb-DSR Capsule,
9371,Albigesic P 100mg/325mg Tablet,
9372,Arkavoxin 50mg Tablet,
9373,Avderm Ointment,
9374,Atorfy 10mg Tablet,
9375,Ambicort 6mg Tablet,
9376,Algaba M 750mcg/150mg Tablet,
9377,Acnesar Gel,
9378,Aagnil-Sos Syrup,
9379,Arisol-DSR Capsule,
9380,Atext-F 25mg/0.5mg Tablet,
9381,Atflox 200mg Tablet,
9382,Aloyrin C 135mg/5mg Tablet,
9383,Azirav 500mg Tablet,
9384,Acmeglim-MV 2/0.3 Tablet SR,
9385,Albiflam R 200mg/20mg Capsule,
9386,Acefen Forte 400mg/600mg Tablet,
9387,Aisous 20 Soft Gelatin Capsule,
9388,Acon SP 100mg/325mg/15mg Tablet,
9389,Alnaros F 160mg/10mg Tablet,
9390,Alnaros F 160mg/10mg Tablet,
9391,Acon SP 100mg/325mg/15mg Tablet,
9392,Amcof Expectorant,
9393,Albiflam R 200mg/20mg Capsule,
9394,Acefen Forte 400mg/600mg Tablet,
9395,Avelap 500mg Tablet SR,
9396,Aurocef 500mg Capsule,
9397,Azam 100mg/5ml Syrup,
9398,Augocare 1000 Duo Tablet,
9399,Atrolet EZ Tablet,
9400,Armer Ointment,
9401,Arvilet 2.5mg Tablet,
9402,Amitril 50mg Tablet,
9403,Alvirab 20mg Tablet,
9404,Alphadine 5% Ointment,
9405,Armaneuro 2500mcg Injection,
9406,Aiday 10mg Tablet,
9407,Amtramont-L Tablet,
9408,Adlipan D Tablet,
9409,Acicol Syrup,
9410,Axibact 2% Ointment,
9411,Aclopride TH 100mg/4mg Tablet,
9412,Avcaine Oral Gel,
9413,Azimust 500mg Tablet,
9414,Acebel-P 100mg/500mg Tablet,
9415,Alrox M 150mg/30mg Tablet,
9416,Acekare SP Tablet,
9417,AMNEXT 5MG TABLET,
9418,Apitop Tablet,
9419,Amitide DS 25mg/10mg Tablet,
9420,AK Plus 100mg/325mg Tablet,
9421,Arpitor Cvd 10mg/75mg Tablet,
9422,Alpraquil 0.25mg Tablet,
9423,Amil 2.5mg Tablet,
9424,Altraflam 200mg Capsule SR,
9425,Arexol P 30mg/4mg/500mg/5mg Tablet,
9426,Aculin Plus Tablet,
9427,Acepam Oral Suspension,
9428,Arenac MR 100mg/325mg/250mg Tablet,
9429,Amirex 50mg Tablet,
9430,Anitra 100 Capsule,
9431,Azomarc 250mg Tablet,
9432,Atio 10mg Tablet,
9433,Amitrip 75mg Tablet,
9434,Aldazole 200mg Syrup,
9435,Arflur 150mg Injection,
9436,Afdiex 2.5mg Tablet,
9437,Amo-Mip 10 Tablet,
9438,Acipan 20mg Tablet,
9439,Ansac-MR 100mg/325mg/250mg Tablet,
9440,Amistar 500mg Injection,
9441,Asnac 100mg/325mg Tablet,
9442,Azom 0.5mg Tablet,
9443,Atarap 2mg Tablet,
9444,Alkafast Syrup,
9445,Azsuch 250mg Tablet,
9446,Accunac DS 180mg/96mg/200mg Tablet,
9447,Anodine 75mg Tablet,
9448,Acemox 250mg Capsule,
9449,Allpain P 100 mg/500 mg Tablet,
9450,Azigro 250mg Tablet,
9451,Allpain P 100 mg/500 mg Tablet,
9452,Acepam Oral Suspension,
9453,Altaxel Nova 300mg Injection,
9454,Azxure 500mg Injection,
9455,Abra-DSR Capsule,
9456,Actovin Plus Tablet,
9457,Atrocard 20mg Tablet,
9458,Altrib D Tablet,
9459,Alver 16mg Tablet,
9460,Acedel-P Tablet,
9461,Azinew 500mg Tablet,
9462,Alefox 500mg Tablet,
9463,Atocef 50mg Tablet,
9464,Alitop-CZ 1.2gm Injection,
9465,Aldezole 400mg Tablet,
9466,Aces SP 100mg/325mg/15mg Tablet,
9467,Alciz AC Tablet,
9468,Astinol Inhaler,
9469,Aspeeday 75mg Tablet ER,
9470,Aam SD 1000mg Tablet,
9471,Allezo 5mg Tablet,
9472,Axin-LA 750mg Tablet,
9473,Aprogen 1.4mg Infusion,
9474,Anti Pain 75mg Injection,
9475,Asmide 100mg Capsule,
9476,Affovog-M 2 Tablet SR,
9477,Aznee 100 Oral Suspension,
9478,Avom 10mg Tablet DT,
9479,Azither 500mg Tablet,
9480,Azither 500mg Tablet,
9481,Amovix-CV Dry Syrup,
9482,Albee 400mg Tablet,
9483,Aryl MR Tablet,
9484,Azier 500mg Tablet,
9485,Anitra 200 Capsule,
9486,Acebrotic Capsule,
9487,Acetac S 100mg/325mg/15mg Tablet,
9488,Apalene 0.1% Gel,
9489,Aceden 100mg Tablet,
9490,Alproxen 200mg Infusion,
9491,Abdrot 80mg Tablet,
9492,Atorsave EZ 20 mg/10 mg Tablet,
9493,Atosta 20 Tablet,
9494,Anxigon 0.5mg Tablet,
9495,Avercet M Tablet,
9496,Antram-Plus Tablet,
9497,Aktiper 1% Soap,
9498,Atracon 200 Capsule,
9499,Astafix SB 200mg/150mg Tablet,
9500,Asparget 10000IU Injection,
9501,Asthacold Tablet,
9502,Afixim 200mg Tablet,
9503,Acecloflam 100mg Tablet,
9504,Avuzid SB 1000mg/125mg Injection,
9505,Autzole 40mg Injection,
9506,Ariba D 10mg/20mg Tablet,
9507,Acelovin P 100mg/325mg Tablet,
9508,Arcycline 250mg Capsule,
9509,Afix 100mg Tablet,
9510,Acelix Plus 100mg/325mg Tablet,
9511,Atmoclav 625 LB Tablet,
9512,Aceox CV 500mg/125mg Tablet,
9513,Axioff 200mg Tablet,
9514,Acezine Plus 100mg/325mg Tablet,
9515,Afix 100mg Tablet,
9516,Argex 200mg/5ml Suspension,
9517,Azivio 500mg Tablet,
9518,Azirab 500mg Tablet,
9519,Arijoy 10 Tablet,
9520,Alektra 20% Eye Drop,
9521,Apkos-DSR Capsule,
9522,Avnac-CP Tablet,
9523,Azenap 10 Tablet,
9524,Axn-CV 500mg/125mg Tablet,
9525,Amilab Eye Drop,
9526,Anazine 5mg Tablet,
9527,Avclav LB 500mg/125mg Tablet,
9528,Afzone 1000mg Injection,
9529,Aclotec MR 100mg/325mg/250mg Tablet,
9530,AP Cobal 0.25mg/10mg Tablet,
9531,Alkanorm Syrup,
9532,Arbon 40mg Tablet,
9533,Ambral 30mg Expectorant,
9534,Admon LC 5mg/10mg Tablet,
9535,Aklinz Gel,
9536,Adron 4 Tablet MD,
9537,Acicap 30mg/20mg Capsule SR,
9538,Aipra 20 Capsule,
9539,Albend 6mg/400mg Tablet,
9540,Amikanex 500mg Injection,
9541,Anodine 50mg Tablet,
9542,Amipan 500 Injection,
9543,Acelive SP 100mg/325mg/15mg Tablet,
9544,Albend 6mg/400mg Tablet,
9545,Antof Plus Tablet,
9546,Amlopure 5 Tablet,
9547,Axcel 100mg/325mg Tablet,
9548,Amlody Syrup,
9549,Augclav Tablet,
9550,Ampirok 1000 mg/500 mg Injection,
9551,Abepride 1mg Tablet,
9552,Acycloveer G 500mg Injection,
9553,AC Tablet,
9554,Actiflox-MR Tablet,
9555,ACEVAH P  100 MG/650 MG TABLET,
9556,Amisol 500mg Injection,
9557,Adadis Cream,
9558,Asan SP Tablet,
9559,Altidol Plus 50mg/500mg Tablet,
9560,Alcitam 800mg Tablet,
9561,Acetam 650mg Tablet,
9562,Alzex Plus 0.25 mg/25 mg Tablet,
9563,Asthafree 20mg Tablet,
9564,Aziron 100mg/5ml Syrup,
9565,Acefe SP Tablet,
9566,Almir 150mg Injection,
9567,Actpar MR Tablet,
9568,Arpiz-DSR Capsule,
9569,Atorfen 5 mg/160 mg Tablet,
9570,Alpodox-CV Tablet,
9571,Acetam 650mg Tablet,
9572,Asthafree 20mg Tablet,
9573,Aziron 100mg/5ml Syrup,
9574,Athfix 200mg Tablet,
9575,Ator 4U 10mg Tablet,
9576,Amoxytor 250mg Capsule,
9577,Aux Tol 300mg Tablet,
9578,Amlowalk 5mg Tablet,
9579,Augvin CV 500mg/125mg Tablet,
9580,Azitrac 200mg/5ml Syrup,
9581,Azither 150mg Injection,
9582,An Tricip Syrup,
9583,Atorva WP 40mg Tablet,
9584,Acio 10 mg/10 mg Capsule,
9585,Angizem DP 60mg Capsule,
9586,Azisafe 250mg Tablet,
9587,Adirab Tablet,
9588,Ariford 15mg Tablet MD,
9589,Altimef Tablet,
9590,ALCYCLIN 500 MG CAPSULE,
9591,Amlion 5mg Tablet,
9592,Acidale Tablet,
9593,Azitheo 250mg Tablet,
9594,Atorfen 5 mg/160 mg Tablet,
9595,Arther 150mg Injection,
9596,Acephen 100mg/500mg Tablet,
9597,Analco 100mg/500mg Tablet,
9598,Arsitri 10mg Injection,
9599,Abtel 40 Tablet,
9600,Aceden TH Plus Tablet,
9601,Aktirose 20mg Injection,
9602,Aceday 50mg/5ml Syrup,
9603,Allbend Syrup,
9604,Algemer 5mg Tablet,
9605,Azitive 500mg Tablet,
9606,Axinac Tablet,
9607,Amo CV 500mg/125mg Tablet,
9608,Acloplex SP 100mg/325mg/15mg Tablet,
9609,Alpose 0.5mg Tablet,
9610,Abzol Syrup,
9611,Arofil 0.2% Mouth Wash,
9612,Aculo 0.1% Eye Drop,
9613,Acezip SP 100mg/325mg/10mg Tablet,
9614,Abipan-DSR Capsule,
9615,Apicris 2mg Syrup,
9616,Actines SP 100mg/325mg/15mg Tablet,
9617,Alexcef OF 200mg/200mg Tablet,
9618,Aurotim Eye Drop,
9619,Aelxim 100 Dry Syrup,
9620,Alprine H 0.25mg/10mg Tablet,
9621,Atenrite AD 5mg/50mg Tablet,
9622,Amide 300mg Tablet,
9623,Alfuin 10mg Tablet,
9624,Amvoryl Syrup,
9625,Adcospas Tablet,
9626,Afra Z Syrup,
9627,Acenal 100mg Tablet,
9628,Alneevo 500mg Tablet,
9629,Amicef 250mg Capsule,
9630,Azirop 500 Tablet,
9631,Abogest 500mg Injection,
9632,Aphex 500mg Tablet,
9633,Aryl Plus Tablet,
